square_id,model,split,n_seeds,mae,mae_std,rmse,rmse_std,mape,smape,mase,mase_std,r2,bias,n_params,device,lag1_copy_ratio,train_wall_s,train_wall_std,inference_wall_s,inference_ms_per_step
5161,persistence,stress,1,68.8783,0.0,107.6064,0.0,12.3579,12.1449,0.19827,0.0,0.99055,0.0571,0,cpu,0.0,0.0,0.0,0.0,0.0
5161,seasonal_naive,stress,1,439.8818,0.0,734.5743,0.0,79.194,46.2494,1.26624,0.0,0.55949,126.0256,0,cpu,6.3708,0.0,0.0,0.0,0.0
5161,harmonic_arima,stress,1,75.0692,0.0,114.7628,0.0,14.2287,13.004,0.21609,0.0,0.98925,28.5471,22,cpu,0.7439,14.667,0.0,108.1881,75.1306
5161,lstm,stress,3,122.6088,24.0391,183.7653,29.8988,24.1441,20.1135,0.35294,0.0692,0.97195,71.668,202369,cuda,1.6097,9.488,0.052,0.0589,0.0409
5161,lightgbm,stress,1,116.1037,0.0,180.6133,0.0,27.1473,21.9213,0.33421,0.0,0.97337,39.4636,19639,cpu,1.5082,0.738,0.0,0.0184,0.0128
4159,persistence,stress,1,10.1184,0.0,13.3047,0.0,9.5617,9.5011,0.12366,0.0,0.87777,0.013,0,cpu,0.0,0.0,0.0,0.0,0.0
4159,seasonal_naive,stress,1,30.8339,0.0,41.7288,0.0,27.8592,25.7332,0.37684,0.0,-0.20238,4.3399,0,cpu,3.0727,0.0,0.0,0.0,0.0
4159,harmonic_arima,stress,1,9.9275,0.0,12.9147,0.0,9.6057,9.1936,0.12133,0.0,0.88483,4.0454,22,cpu,0.6786,29.478,0.0,105.856,73.5111
4159,lstm,stress,3,19.8103,1.6096,24.0727,0.8032,19.4086,17.1248,0.24211,0.01967,0.59956,18.0666,202369,cuda,1.8627,9.506,0.051,0.0585,0.0406
4159,lightgbm,stress,1,23.5832,0.0,27.6015,0.0,27.6512,22.5651,0.28823,0.0,0.47394,21.6192,20362,cpu,2.2264,0.774,0.0,0.016,0.0111
4556,persistence,stress,1,23.1323,0.0,31.9399,0.0,8.9543,8.8849,0.20603,0.0,0.91102,0.0747,0,cpu,0.0,0.0,0.0,0.0,0.0
4556,seasonal_naive,stress,1,56.5986,0.0,77.4307,0.0,22.475,21.0677,0.50409,0.0,0.47704,11.5839,0,cpu,2.4653,0.0,0.0,0.0,0.0
4556,harmonic_arima,stress,1,24.9583,0.0,33.4736,0.0,10.2468,9.5887,0.22229,0.0,0.90226,16.4334,22,cpu,0.8586,16.763,0.0,107.5238,74.6693
4556,lstm,stress,3,47.004,7.1835,55.7493,6.8413,21.1707,18.3693,0.41864,0.06398,0.72618,42.5502,202369,cuda,1.9355,9.483,0.083,0.0591,0.041
4556,lightgbm,stress,1,55.4836,0.0,65.1357,0.0,30.4147,23.7497,0.49416,0.0,0.62993,50.157,21010,cpu,2.2643,0.829,0.0,0.0185,0.0129
